"time","mean","stdev","min","max","q1","q3","median","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.17857142857142858,0.38299304624155733,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
0.2,0.26785714285714285,0.61211201789295067,0,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0.3,0.30357142857142855,0.67927595005750852,0,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0
0.4,0.44642857142857145,0.82201066332027906,0,3,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0
0.5,0.5714285714285714,0.82065180664828974,0,3,0.0,1.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,3,3,1,0,0,1,0,0,0,1,3,1,2,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,1,1
0.6,0.39285714285714285,0.77179224232051136,0,3,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,3,0,0,0,1,0,0,0,0,3,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
0.7,0.42857142857142855,0.79859570624992504,0,3,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,3,0,0,0,1,0,0,0,0,3,0,2,0,1,0,0,0,0,1,1,1,0,2,0,1,0,1,0,0,1,0,0
0.8,0.48214285714285715,0.8449655831657843,0,3,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,1,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,1,1,1,1,3,0,1,0,1,0,0,0,0,1
0.9,0.5,0.68138514386924687,0,3,0.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,2,2,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,1,1,1,3,0,1,0,1,0,0,0,1,1
1.0,0.5535714285714286,0.70507453651427276,0,3,0.0,1.0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,1,1,3,0,1,1,1,0,0,0,1,1
1.1,0.625,0.7455223480410037,0,3,0.0,1.0,0.0,2,0,0,2,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,1,0,1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,1,1,3,0,1,1,1,0,0,0,1,1
1.2,0.48214285714285715,0.70688126474605317,0,3,0.0,1.0,0.0,2,0,0,2,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,3,1,1,1,1,0,0,0,1,1
1.3,0.42857142857142855,0.62269984907723952,0,3,0.0,1.0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,3,1,1,1,1,0,0,0,1,1
