"time","mean","stdev","min","max","q1","q3","median","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.071428571428571425,0.25753937681885647,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.35714285714285715,0.58028845747399693,0,2,0.0,1.0,0.0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,1,2,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.5357142857142857,0.84439931553834913,0,3,0.0,1.0,0.0,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,2,2,0,1,1,2,0,2,2,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4,0.6607142857142857,0.91176410080141002,0,3,0.0,1.0,0.0,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,2,2,0,1,2,3,0,2,2,1,0,1,2,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0.5,1.0178571428571428,1.2462955311724457,0,5,0.0,2.0,0.5,3,0,5,3,1,0,0,0,0,0,0,0,2,0,3,3,0,1,1,3,3,0,1,2,3,0,2,2,1,0,1,2,0,0,1,2,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2,0,3,0
0.6,1.2857142857142858,1.4106012612951067,0,5,0.0,2.0,1.0,3,0,5,3,1,0,0,0,0,0,0,0,2,0,3,4,0,2,1,4,4,1,1,3,4,0,2,2,1,0,1,2,0,0,1,2,2,1,0,0,0,0,2,1,0,4,0,0,1,0,1,1,3,0,3,1
0.7,1.2142857142857142,1.3850513878332369,0,5,0.0,2.0,1.0,4,0,5,4,1,0,0,0,1,1,0,0,2,0,3,3,0,1,0,3,3,0,2,3,4,0,2,2,1,0,1,2,0,0,1,2,2,1,0,0,0,0,2,1,0,4,0,0,0,0,0,1,2,0,3,1
0.8,1.2142857142857142,1.3720980508784677,0,5,0.0,2.0,1.0,4,0,5,4,1,0,0,0,1,1,0,0,1,0,3,3,0,2,0,2,3,0,2,3,4,0,2,1,3,1,1,1,0,0,1,2,2,1,0,0,0,0,2,1,0,4,0,0,0,0,0,1,2,0,3,1
0.9,1.4821428571428572,1.4637411879516551,0,6,0.0,2.0,1.0,5,1,6,4,2,1,2,0,1,1,0,0,1,1,4,3,0,2,1,2,4,0,2,3,4,0,3,1,2,1,0,1,1,0,1,2,2,1,0,1,0,0,2,1,0,4,0,0,1,0,1,1,2,0,4,1
1.0,1.5714285714285714,1.6781914463529615,0,6,0.0,2.0,1.0,4,0,6,4,2,0,0,0,2,1,0,0,2,0,4,3,0,2,2,3,6,0,2,4,5,0,2,1,2,1,0,1,1,0,1,2,2,2,0,1,0,0,2,2,0,5,0,0,1,0,1,1,2,0,5,1
