"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.10000000000000001,6.666666666666667e-05,0.00024944382578492949,6.666666666666667e-05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000001,0.00030000000000000003,0.00058594652770823188,0.00030000000000000003,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
0.29999999999999999,0.00056666666666666671,0.00071569701845279642,0.00056666666666666671,0.002,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.002,0.002,0.001,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.002,0.001,0.001
0.40000000000000002,0.00073333333333333345,0.00081377037438224678,0.00073333333333333345,0.0030000000000000001,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.002,0.001,0.0,0.0,0.001,0.0,0.002,0.002,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.003,0.001,0.001
0.5,0.00096666666666666711,0.00091226214556026713,0.00096666666666666711,0.0030000000000000001,0.0,0.00175,0.001,0.001,0.001,0.001,0.0,0.001,0.003,0.0,0.003,0.002,0.0,0.0,0.001,0.0,0.002,0.002,0.001,0.0,0.002,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.002,0.001,0.002
0.59999999999999998,0.0009000000000000003,0.00090737717258774706,0.0009000000000000003,0.0040000000000000001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.004,0.0,0.002,0.002,0.0,0.0,0.001,0.0,0.002,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.002
0.69999999999999996,0.0011000000000000003,0.00094339811320566058,0.0011000000000000003,0.0030000000000000001,0.0,0.002,0.001,0.0,0.001,0.001,0.0,0.001,0.003,0.001,0.002,0.002,0.0,0.0,0.001,0.002,0.003,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.002,0.003,0.001,0.002,0.001,0.001,0.0,0.001,0.002
0.80000000000000004,0.0012333333333333337,0.00091954094827558137,0.0012333333333333337,0.0030000000000000001,0.001,0.002,0.001,0.001,0.0,0.001,0.0,0.001,0.002,0.0,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.0,0.001,0.001,0.0,0.002,0.001,0.0,0.002,0.003,0.002,0.002,0.001,0.001,0.0,0.002,0.003
0.90000000000000002,0.0010666666666666667,0.00092855921847894145,0.0010666666666666667,0.0030000000000000001,0.0,0.00175,0.001,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.002,0.0,0.001,0.001,0.0,0.001,0.001,0.0,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.003,0.003
1.0,0.00066666666666666664,0.0008299933065325822,0.00066666666666666664,0.0030000000000000001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.002,0.002,0.002,0.002,0.0,0.001,0.001,0.003,0.001
