"time","mean","stdev","min","max","q1","q3","median","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.25,0.50885024459910744,0,2,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
0.2,0.5,0.84515425472851657,0,3,0.0,1.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,2,0,2,0,2,1,0,0,0,0,0,0
0.3,0.44642857142857145,0.75402829752562239,0,3,0.0,1.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,2,0,1,0,1,1,0,0,0,0,0,0
0.4,0.5535714285714286,0.92426887818625181,0,4,0.0,1.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,1,4,3,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,4,2,0,1,0,1,1,0,0,0,0,0,0
0.5,0.7678571428571429,1.2391107328093263,0,6,0.0,1.0,0.0,1,0,1,2,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,2,1,5,4,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,6,2,1,1,0,1,2,0,0,0,0,0,0
0.6,0.7678571428571429,1.2816154904284367,0,6,0.0,1.0,0.0,1,0,1,2,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,2,1,5,4,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,6,3,0,1,0,1,2,0,0,0,0,0,0
0.7,0.8571428571428571,1.5518257844571743,0,7,0.0,1.25,0.0,1,0,1,2,0,3,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,7,4,0,1,0,1,2,0,0,0,0,0,0
0.8,0.8571428571428571,1.5402756180605595,0,7,0.0,1.0,0.0,1,0,1,3,0,2,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,7,4,0,1,0,1,2,0,0,0,0,0,0
0.9,1.0714285714285714,1.678191446352961,0,8,0.0,2.0,0.0,1,0,2,4,0,2,0,0,0,2,2,1,0,3,1,2,0,0,0,0,0,2,1,6,5,0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,2,0,8,4,0,1,0,1,3,0,0,0,0,0,0
1.0,1.2142857142857142,1.9884872724392941,0,9,0.0,2.0,0.0,2,0,0,3,0,2,0,0,0,1,2,1,0,2,0,1,0,0,0,0,0,3,2,8,7,0,0,0,0,0,0,2,0,1,0,1,4,2,0,0,0,2,0,9,5,1,2,0,2,2,0,0,0,0,0,1
1.1,1.1964285714285714,1.5970915849168592,0,7,0.0,2.0,1.0,1,1,0,2,1,2,0,0,0,1,2,1,1,2,0,0,0,0,1,0,1,4,1,7,5,0,0,0,0,0,0,2,0,1,1,0,3,2,0,1,0,2,0,7,4,2,2,0,2,2,0,1,0,0,1,1
1.2,1.2678571428571428,1.5866752236378183,0,7,0.0,2.0,1.0,1,1,1,2,1,2,0,0,0,1,2,1,1,2,1,0,0,0,1,0,1,4,1,7,5,0,0,0,0,0,0,2,0,1,1,0,2,3,0,0,0,2,0,7,4,2,2,0,2,2,1,0,0,1,2,2
1.3,1.3392857142857142,1.6612902227129467,0,7,0.0,2.0,1.0,1,1,1,1,1,2,0,0,0,0,2,1,1,2,1,0,0,0,1,0,1,4,1,7,5,1,0,0,0,0,0,2,0,1,1,0,2,3,0,1,1,2,0,7,4,4,3,0,3,2,0,0,0,0,3,2
1.4,1.3392857142857142,1.9298111095045924,0,9,0.0,2.0,1.0,1,0,1,1,0,2,0,0,0,0,1,0,1,2,1,0,0,0,1,0,1,3,1,6,6,1,0,0,0,0,0,1,0,1,0,0,2,3,0,1,1,3,0,9,6,5,4,0,3,2,0,0,0,0,3,2
1.5,1.4285714285714286,1.9166296949998196,0,8,0.0,2.0,1.0,2,0,1,2,0,2,0,0,0,0,0,0,2,2,1,0,0,0,2,0,2,3,2,6,6,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,2,0,8,5,6,5,0,4,2,1,0,0,0,3,2
1.6,1.4464285714285714,1.8890629088173294,0,8,0.0,2.0,1.0,3,0,1,3,0,2,0,0,1,1,0,0,2,2,1,0,0,0,2,0,2,2,3,6,7,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,2,0,8,5,5,4,0,3,2,1,0,0,0,3,2
1.7,1.6428571428571428,1.9948914348241351,0,8,0.0,3.0,1.0,3,0,3,4,1,2,0,0,1,1,0,0,2,2,3,0,0,0,2,1,3,2,3,6,7,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,2,0,8,5,6,4,0,3,2,1,0,0,0,5,2
1.8,1.9285714285714286,2.1618208500602223,0,9,0.0,3.0,1.0,4,1,3,4,1,2,1,0,1,1,0,0,2,2,3,0,0,0,2,1,3,3,4,7,8,1,1,0,0,0,0,1,0,1,0,1,2,5,1,1,0,2,0,9,5,6,4,0,4,2,2,0,0,0,5,2
1.9,1.9821428571428572,2.2159412014228326,0,10,1.0,2.0,1.0,4,1,2,4,1,2,1,0,1,1,0,0,2,2,2,1,0,1,2,1,3,2,4,7,9,1,1,0,2,0,1,1,0,1,0,2,2,4,1,1,0,2,0,10,6,7,4,1,3,2,1,0,0,0,4,1
2.0,1.8214285714285714,2.2448921614025319,0,9,0.0,2.0,1.0,4,1,2,5,1,1,1,0,1,1,0,0,1,1,2,1,0,0,1,1,2,2,4,7,9,1,1,0,1,0,1,1,0,1,0,2,2,4,1,1,0,2,0,9,6,7,4,0,3,1,0,0,0,0,5,1
2.1,1.9464285714285714,2.191050325896748,0,9,0.0,3.0,1.0,4,1,3,5,1,1,1,0,1,1,0,0,2,2,3,0,0,0,3,1,3,2,4,6,8,1,1,0,1,0,1,1,0,1,0,2,2,3,1,3,0,1,0,9,5,7,4,0,3,2,1,0,0,0,7,1
2.2,1.9285714285714286,2.5203255377681928,0,10,0.0,2.25,1.0,6,2,3,6,1,1,1,0,1,1,0,0,1,1,3,0,0,0,2,0,1,2,5,7,10,1,1,0,1,0,1,0,0,0,0,1,2,4,1,2,0,1,0,10,6,7,4,0,3,1,1,0,0,0,6,1
2.3,1.5714285714285714,2.0341472665568783,0,8,0.0,2.0,1.0,5,2,3,5,1,1,1,0,1,1,0,0,0,1,3,0,0,0,1,0,0,1,4,5,8,1,1,0,1,0,1,0,0,0,0,1,2,2,1,2,0,1,0,8,5,6,3,0,2,1,1,0,0,0,5,1
2.4,1.8214285714285714,2.1721215999335675,0,8,0.0,2.25,1.0,6,3,4,6,2,1,1,0,2,1,0,0,1,1,4,1,0,0,0,0,1,1,4,5,8,1,1,1,0,0,0,0,1,0,0,1,2,2,0,3,0,1,0,8,5,7,3,1,2,1,1,1,0,1,6,1
2.5,1.8214285714285714,2.2607453168712093,0,8,0.0,2.25,1.0,7,3,4,7,2,1,1,0,2,1,0,0,1,1,4,1,0,0,0,0,1,1,5,4,8,1,1,1,0,0,0,0,1,0,0,1,2,2,0,3,0,1,0,8,6,6,3,0,2,1,1,0,0,1,6,1
