name,n_hosts,table_size
sAT,10,10000
sBE,10,10000
sBG,10,10000
sBY,10,10000
sCH,10,10000
sCY,10,10000
sCZ,10,10000
sDE1,10,10000
sDE2,10,10000
sDK,10,10000
sEE,10,10000
sES,10,10000
sFI,10,10000
sFR1,10,10000
sFR2,10,10000
sGR,10,10000
sHR,10,10000
sHU,10,10000
sIE,10,10000
sIL,10,10000
sIS,10,10000
sIT,10,10000
sLT,10,10000
sLU,10,10000
sLV,10,10000
sMD,10,10000
sME,10,10000
sMK,10,10000
sMT,10,10000
sNL,10,10000
sNO,10,10000
sPL,10,10000
sPT,10,10000
sRO,10,10000
sRS,10,10000
sSE,10,10000
sSI,10,10000
sSK,10,10000
sTR,10,10000
sUA,10,10000
sUK,10,10000
